name,admin,country,lat,lon,elevation_m,population,bortle,kind
Toronto,Ontario,Canada,43.65,-79.38,76,2800000,9,city
Vancouver,British Columbia,Canada,49.28,-123.12,2,660000,8,city
Montreal,Quebec,Canada,45.50,-73.57,36,1800000,9,city
Mexico City,,Mexico,19.43,-99.13,2240,9000000,9,city
London,England,United Kingdom,51.51,-0.13,11,8900000,9,city
Edinburgh,Scotland,United Kingdom,55.95,-3.19,47,510000,8,city
Dublin,,Ireland,53.35,-6.26,20,550000,8,city
Paris,,France,48.86,2.35,35,2100000,9,city
Berlin,,Germany,52.52,13.41,34,3700000,9,city
Amsterdam,,Netherlands,52.37,4.90,-2,870000,9,city
Zurich,,Switzerland,47.37,8.54,408,430000,8,city
Vienna,,Austria,48.21,16.37,171,1900000,8,city
Madrid,,Spain,40.42,-3.70,657,3200000,9,city
Lisbon,,Portugal,38.72,-9.14,100,540000,8,city
Rome,,Italy,41.90,12.50,21,2800000,9,city
Athens,,Greece,37.98,23.73,20,660000,8,city
Warsaw,,Poland,52.23,21.01,113,1800000,8,city
Stockholm,,Sweden,59.33,18.07,28,980000,8,city
Oslo,,Norway,59.91,10.75,23,700000,8,city
Helsinki,,Finland,60.17,24.94,26,660000,8,city
Reykjavik,,Iceland,64.15,-21.94,61,140000,6,city
Moscow,,Russia,55.76,37.62,156,12500000,9,city
Istanbul,,Turkey,41.01,28.98,39,15500000,9,city
Cairo,,Egypt,30.04,31.24,23,10000000,9,city
Dubai,,United Arab Emirates,25.20,55.27,5,3600000,9,city
Delhi,,India,28.61,77.21,216,32000000,9,city
Singapore,,Singapore,1.35,103.82,15,5900000,9,city
Beijing,,China,39.90,116.41,44,21500000,9,city
Seoul,,South Korea,37.57,126.98,38,9700000,9,city
Tokyo,,Japan,35.68,139.69,40,13900000,9,city
Sydney,New South Wales,Australia,-33.87,151.21,58,5300000,9,city
Melbourne,Victoria,Australia,-37.81,144.96,31,5100000,9,city
Perth,Western Australia,Australia,-31.95,115.86,15,2100000,8,city
Auckland,,New Zealand,-36.85,174.76,26,1600000,8,city
Johannesburg,,South Africa,-26.20,28.05,1753,5600000,9,city
Cape Town,,South Africa,-33.92,18.42,25,4600000,8,city
Sao Paulo,,Brazil,-23.55,-46.63,760,12300000,9,city
Buenos Aires,,Argentina,-34.60,-58.38,25,3100000,9,city
Santiago,,Chile,-33.45,-70.67,570,6200000,9,city
Broemmelsiek Park,Missouri,United States,38.72,-90.83,180,0,5,site
Danville Conservation Area,Missouri,United States,38.88,-91.50,240,0,4,site
Mark Twain National Forest,Missouri,United States,37.60,-91.30,400,0,3,site
Cherry Springs State Park,Pennsylvania,United States,41.66,-77.82,700,0,2,site
Big Bend National Park,Texas,United States,29.25,-103.25,1140,0,1,site
Death Valley National Park,California,United States,36.51,-117.08,-50,0,2,site
Natural Bridges National Monument,Utah,United States,37.60,-110.01,1980,0,2,site
Great Basin National Park,Nevada,United States,38.98,-114.30,2080,0,2,site
Kitt Peak National Observatory,Arizona,United States,31.96,-111.60,2096,0,2,site
Mauna Kea,Hawaii,United States,19.82,-155.47,4205,0,1,site
Mont-Megantic Dark Sky Reserve,Quebec,Canada,45.46,-71.15,1100,0,2,site
Galloway Forest Park,Scotland,United Kingdom,55.15,-4.45,300,0,2,site
Brecon Beacons,Wales,United Kingdom,51.88,-3.43,400,0,3,site
Pic du Midi,,France,42.94,0.14,2877,0,2,site
La Palma Roque de los Muchachos,Canary Islands,Spain,28.76,-17.89,2396,0,1,site
Cerro Paranal,,Chile,-24.63,-70.40,2635,0,1,site
NamibRand Nature Reserve,,Namibia,-25.00,16.00,1000,0,1,site
Aoraki Mackenzie Dark Sky Reserve,,New Zealand,-43.73,170.10,760,0,2,site
Warrumbungle National Park,New South Wales,Australia,-31.28,149.00,500,0,2,site
